question_id,question_text,vote_count,main_label,sub_label,refined_reason,needs_manual_review,matched_keywords,manual_review_done,manual_review_time,manual_review_note,topic_label,topic_reason
170,처음 보는 사람과 가장 빨리 친해질 것 같은 사람은?,1996,친밀감_우정,,"사교성, 정서적 친밀감",0,,0,,,,
290,모든 사람과 잘 지낼 것 같은 사람은?,1986,친밀감_우정,,"사교성, 정서적 친밀감",0,,0,,,,
169,축제에서 공연을 제일 잘 할거 같은 사람은?,1984,능력_재능,,"특정 지식, 기능적 능력, 게임/공부 등",0,,0,,,,
211,앞으로의 인생을 가장 재미있게 살것 같은 사람은?,1974,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
310,반려동물과 가장 잘 지낼거 같은 사람은?,1956,친밀감_우정,,"사교성, 정서적 친밀감",0,,0,,,,
102,여기서 제일 특이한 친구는?,1946,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
244,대학교에서 학생회장할 것 같은 사람은?,1946,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
309,흰티에 청바지가 잘 어울릴것 같은 사람은?,1939,외모_매력,,"외모, 스타일, 패션 등 신체적 매력",0,,0,,,,
152,숨겨진 댄싱 머신이라고 생각하는 사람은?,1933,능력_재능,,"특정 지식, 기능적 능력, 게임/공부 등",0,,0,,,,
189,자신감이 제일 높을거 같은 사람은?,1916,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
269,어떤 모임에서도 항상 리드를 할 것 같은 사람은?,1915,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
167,성격이 가장 시원시원한 사람은?,1908,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
168,어른들에게 제일 잘 할것같은 사람은?,1905,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
224,나중에 술을 제일 잘 마실거 같은 사람은?,1904,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
171,틱톡 팔로워가 가장 많을 것 같은 사람,1901,인기_영향력,,"SNS 인기, 유명세 등",0,,0,,,,
176,무서운 놀이기구를 제일 잘탈것 같은 사람은?,1899,능력_재능,,"특정 지식, 기능적 능력, 게임/공부 등",0,,0,,,,
319,남의 고민을 가장 잘 들어줄거 같은 사람은?,1897,신뢰_의지,,"고민, 믿음, 의지 등 신뢰 관계",0,,0,,,,
161,화목한 가정을 꾸릴거 같은 사람은?,1894,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
272,길거리에서 틱톡/릴스 챌린지 잘할 것 같은 사람은?,1894,인기_영향력,,"SNS 인기, 유명세 등",0,,0,,,,
281,유튜버로 성공할 것 같은 사람은?,1889,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
286,웃음이 가장 많은 사람은?,1888,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
298,옷이 제일 많을 거 같은 사람은?,1883,외모_매력,,"외모, 스타일, 패션 등 신체적 매력",0,,0,,,,
128,결혼을 가장 빨리 할 것 같은 사람은?,1882,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
178,게임을 제일 잘할 것 같은 사람은?,1882,능력_재능,,"특정 지식, 기능적 능력, 게임/공부 등",0,,0,,,,
283,10년이 지나도 늙지 않고 그대로일 것 같은 사람은?,1882,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
163,10년 뒤에 가장 돈을 많이 벌었을 것 같은 사람은?,1881,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
306,나중에 알바를 할 때 가장 일을 잘 할거 같은 사람은?,1879,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
266,인사성이 가장 밝을 것 같은 사람은?,1877,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
321,한 명과 룸메이트를 한다면 누구를 고를까?,1877,관계상상_상황극,,"무인도, 특정 상황극 등 가상 상황",0,,0,,,,
232,취미가 제일 독특할거 같은 사람은?,1873,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
173,가장 인사성이 좋은 사람은?,1871,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
208,정장이 가장 잘 어울릴 것 같은 사람은?,1868,외모_매력,,"외모, 스타일, 패션 등 신체적 매력",0,,0,,,,
316,인스타 팔로워가 가장 많을 것 같은 사람은?,1867,인기_영향력,,"SNS 인기, 유명세 등",0,,0,,,,
260,필기 안해도 수업 내용을 다 기억할 것 같은 사람은?,1866,능력_재능,,"특정 지식, 기능적 능력, 게임/공부 등",0,,0,,,,
191,많이 먹어도 몸무게가 그대로일 것 같은 사람은?,1864,외모_매력,,"외모, 스타일, 패션 등 신체적 매력",0,,0,,,,
271,특이한 직업을 가지게 될 것 같은 사람은?,1861,미래상상_성공,,"장래 상상, 미래 성취 맥락",0,,0,,,,
285,발표를 가장 당당하게 잘 할 것 같은 사람은?,1858,능력_재능,,"특정 지식, 기능적 능력, 게임/공부 등",0,,0,,,,
295,어릴 때 가장 말을 잘 들었을거 같은 사람은?,1857,성격_행동,,"성향, 태도, 사회성 등 성격 특성",0,,0,,,,
264,로맨스 영화 보면서 많이 울 것 같은 사람은?,1854,연애_호감,스킨십_호감투사,"설렘, 이성, 연애 감정 등 맥락",0,,0,2026-04-06 09:06:09,,,
